"","EVENT_ID","ROLE","start","end","color","mid","dur"
"202",244,"SwitchFilter",2025-07-29 04:32:56,2025-07-29 04:37:56,"royalblue",2025-07-29 04:35:26,300
"203",246,"SwitchFilter",2025-07-29 04:37:56,2025-07-29 04:42:56,"royalblue",2025-07-29 04:40:26,300
"204",248,"SwitchFilter",2025-07-29 04:42:56,2025-07-29 04:47:56,"royalblue",2025-07-29 04:45:26,300
"205",250,"SwitchFilter",2025-07-29 04:47:57,2025-07-29 04:52:57,"royalblue",2025-07-29 04:50:27,300
"206",252,"SwitchFilter",2025-07-29 04:52:57,2025-07-29 04:57:57,"royalblue",2025-07-29 04:55:27,300
"207",261,"Flats",2025-07-29 06:59:00,2025-07-29 06:59:00,"royalblue",2025-07-29 06:59:00,0
"208",262,"Flats",2025-07-29 06:59:00,2025-07-29 06:59:02,"royalblue",2025-07-29 06:59:01,2
"209",269,"Flats",2025-07-29 06:59:20,2025-07-29 06:59:20,"royalblue",2025-07-29 06:59:20,0
"210",271,"Flats",2025-07-29 06:59:20,2025-07-29 06:59:20,"royalblue",2025-07-29 06:59:20,0
"211",272,"Flats",2025-07-29 06:59:20,2025-07-29 06:59:20,"royalblue",2025-07-29 06:59:20,0
"212",273,"SwitchFilter",2025-07-29 06:59:20,2025-07-29 06:59:20,"royalblue",2025-07-29 06:59:20,0
"213",274,"Flats",2025-07-29 06:59:20,2025-07-29 06:59:22,"royalblue",2025-07-29 06:59:21,2
"214",276,"Flats",2025-07-29 06:59:22,2025-07-29 06:59:26,"royalblue",2025-07-29 06:59:24,4
"215",277,"Flats",2025-07-29 06:59:26,2025-07-29 06:59:29,"royalblue",2025-07-29 06:59:27.5,3
"216",278,"Flats",2025-07-29 06:59:29,2025-07-29 06:59:33,"royalblue",2025-07-29 06:59:31,4
"217",279,"Flats",2025-07-29 06:59:33,2025-07-29 06:59:36,"royalblue",2025-07-29 06:59:34.5,3
"218",280,"Flats",2025-07-29 06:59:36,2025-07-29 06:59:40,"royalblue",2025-07-29 06:59:38,4
"219",281,"Flats",2025-07-29 06:59:40,2025-07-29 06:59:43,"royalblue",2025-07-29 06:59:41.5,3
"220",282,"Flats",2025-07-29 06:59:43,2025-07-29 06:59:47,"royalblue",2025-07-29 06:59:45,4
"221",283,"Flats",2025-07-29 06:59:47,2025-07-29 06:59:50,"royalblue",2025-07-29 06:59:48.5,3
"222",284,"Flats",2025-07-29 06:59:50,2025-07-29 06:59:54,"royalblue",2025-07-29 06:59:52,4
"223",285,"Flats",2025-07-29 06:59:54,2025-07-29 06:59:57,"royalblue",2025-07-29 06:59:55.5,3
"224",286,"Flats",2025-07-29 06:59:57,2025-07-29 07:00:01,"royalblue",2025-07-29 06:59:59,4
"225",287,"Flats",2025-07-29 07:00:01,2025-07-29 07:00:04,"royalblue",2025-07-29 07:00:02.5,3
"226",288,"Flats",2025-07-29 07:00:04,2025-07-29 07:00:08,"royalblue",2025-07-29 07:00:06,4
"227",289,"Flats",2025-07-29 07:00:08,2025-07-29 07:00:11,"royalblue",2025-07-29 07:00:09.5,3
"228",290,"Flats",2025-07-29 07:00:11,2025-07-29 07:00:15,"royalblue",2025-07-29 07:00:13,4
