SubframeSelector module version 1.9.1
Subframe Scale,0.80000
Camera Gain,1.00000
Camera Resolution,"16-bit [0,65535]"
Site Local Midnight,24
Scale Unit,"Arcseconds (arcsec)"
Data Unit,"Normalized to [0,1]"
Trimming Factor,0.10
Structure Layers,5
Noise Layers,0
Hot Pixel Filter Radius,1
Noise Reduction Filter Radius,0
Sensitivity,0.50000
Peak Response,0.500
Maximum Star Distortion,0.600
Upper Limit,1.000
Pedestal,0
Subframe Region,0,0,0,0
PSF Type,"Moffat beta = 4"
Circular PSF,false
Approval expression,""
Weighting expression,""
Index,Approved,Locked,File,Weight,PSF Signal Weight,PSF SNR,PSF Scale,PSF Scale SNR,PSF Count,M*,N*,SNR,FWHM,Eccentricity,Altitude,Azimuth,Median,Median Mean Deviation,Noise,Noise Ratio,Stars,Star Residual,PSF Total Flux,PSF Total Power Flux,PSF Total Mean Flux,PSF Total Mean Power Flux,FWHM Mean Deviation,Eccentricity Mean Deviation,Star Residual Mean Deviation
306,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0084.fits",0.000000e+00,1.048104e-02,2.680930e-02,0.000000e+00,0.000000e+00,1067,3.9518e-04,5.7293e-04,1.3161e+00,2.3215e+00,5.3553e-01,7.2106e+01,8.1947e+01,1.290913e-02,4.995688e-04,5.8157e-04,9.3728e-01,1065,4.5906e-04,5.861866e+02,3.856446e+03,6.943891e+00,5.466469e-02,1.6892e-01,7.3912e-02,1.9387e-05
307,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0085.fits",0.000000e+00,1.259767e-02,2.686803e-02,0.000000e+00,0.000000e+00,1197,3.9381e-04,5.7045e-04,1.3195e+00,2.0777e+00,5.9696e-01,7.3166e+01,8.2190e+01,1.286335e-02,4.974967e-04,5.7951e-04,9.3673e-01,1199,4.5744e-04,5.847465e+02,3.569781e+03,8.308324e+00,6.961803e-02,1.6431e-01,7.6295e-02,1.9554e-05
308,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0086.fits",0.000000e+00,1.001013e-02,2.825090e-02,0.000000e+00,0.000000e+00,1049,3.9573e-04,5.7311e-04,1.3221e+00,2.4428e+00,6.8461e-01,7.4657e+01,8.2500e+01,1.292438e-02,5.000539e-04,5.8200e-04,9.3709e-01,1045,4.6337e-04,6.021893e+02,4.066118e+03,6.469494e+00,4.770221e-02,2.5764e-01,5.9214e-02,2.0033e-05
309,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0087.fits",0.000000e+00,1.041217e-02,2.810353e-02,0.000000e+00,0.000000e+00,1066,3.9278e-04,5.6856e-04,1.3211e+00,2.3788e+00,6.1693e-01,7.5725e+01,8.2695e+01,1.283283e-02,4.966559e-04,5.7806e-04,9.3670e-01,1065,4.6077e-04,5.965435e+02,3.983707e+03,6.696739e+00,5.017609e-02,2.5856e-01,6.6885e-02,2.0306e-05
310,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0088.fits",0.000000e+00,1.127481e-02,2.888564e-02,0.000000e+00,0.000000e+00,1111,3.8941e-04,5.6394e-04,1.3197e+00,2.3097e+00,6.4078e-01,7.6776e+01,8.2859e+01,1.272602e-02,4.923382e-04,5.7292e-04,9.3571e-01,1108,4.5605e-04,5.994088e+02,3.918866e+03,7.091373e+00,5.419139e-02,2.4571e-01,7.4215e-02,2.1177e-05
311,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0089.fits",0.000000e+00,1.087484e-02,2.955868e-02,0.000000e+00,0.000000e+00,1074,3.8846e-04,5.6216e-04,1.3215e+00,2.3882e+00,5.3599e-01,7.7862e+01,8.2991e+01,1.269550e-02,4.911558e-04,5.7138e-04,9.3581e-01,1074,4.5455e-04,6.047231e+02,4.133343e+03,6.744826e+00,5.102416e-02,2.1530e-01,8.3066e-02,2.0427e-05
312,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0090.fits",0.000000e+00,1.031755e-02,2.959409e-02,0.000000e+00,0.000000e+00,1067,3.9038e-04,5.6498e-04,1.3180e+00,2.4236e+00,6.3029e-01,7.8934e+01,8.3075e+01,1.274128e-02,4.930123e-04,5.7355e-04,9.3646e-01,1063,4.5588e-04,6.073827e+02,4.158255e+03,6.427059e+00,4.585194e-02,2.5982e-01,5.5396e-02,1.9504e-05
313,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0091.fits",0.000000e+00,9.961519e-03,2.858378e-02,0.000000e+00,0.000000e+00,1031,3.9022e-04,5.6471e-04,1.3213e+00,2.4268e+00,6.5176e-01,7.9989e+01,8.3097e+01,1.274128e-02,4.931991e-04,5.7375e-04,9.3654e-01,1030,4.5741e-04,5.971374e+02,4.107209e+03,6.311364e+00,4.588980e-02,2.0158e-01,5.9006e-02,2.0047e-05
314,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0092.fits",0.000000e+00,1.220957e-02,2.967812e-02,0.000000e+00,0.000000e+00,1126,3.8785e-04,5.6125e-04,1.3231e+00,2.2781e+00,6.0612e-01,8.1076e+01,8.3037e+01,1.268024e-02,4.906146e-04,5.7043e-04,9.3554e-01,1124,4.5373e-04,6.049418e+02,3.966395e+03,7.545630e+00,6.213923e-02,2.2631e-01,7.5353e-02,2.0767e-05
315,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0093.fits",0.000000e+00,1.156450e-02,3.114937e-02,0.000000e+00,0.000000e+00,1112,3.8385e-04,5.5530e-04,1.3149e+00,2.3563e+00,6.3289e-01,8.2127e+01,8.2864e+01,1.255817e-02,4.860020e-04,5.6489e-04,9.3481e-01,1111,4.4811e-04,6.137312e+02,4.137371e+03,6.904198e+00,5.150206e-02,2.2136e-01,6.1683e-02,2.0107e-05
316,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0094.fits",0.000000e+00,1.256616e-02,3.030702e-02,0.000000e+00,0.000000e+00,1156,3.8365e-04,5.5489e-04,1.3181e+00,2.2443e+00,5.9747e-01,8.3175e+01,8.2529e+01,1.255817e-02,4.858938e-04,5.6469e-04,9.3488e-01,1156,4.4858e-04,6.051617e+02,3.947444e+03,7.601822e+00,6.091889e-02,1.8615e-01,8.3034e-02,2.0165e-05
317,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0095.fits",0.000000e+00,1.088951e-02,3.142880e-02,0.000000e+00,0.000000e+00,1069,3.8376e-04,5.5492e-04,1.3186e+00,2.4652e+00,6.4650e-01,8.4225e+01,8.1940e+01,1.255817e-02,4.862096e-04,5.6483e-04,9.3477e-01,1068,4.4680e-04,6.164175e+02,4.329319e+03,6.470782e+00,4.717551e-02,1.8454e-01,5.7743e-02,1.8958e-05
318,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0096.fits",0.000000e+00,1.135434e-02,3.070852e-02,0.000000e+00,0.000000e+00,1107,3.8359e-04,5.5516e-04,1.3153e+00,2.3725e+00,6.2803e-01,8.5273e+01,8.0931e+01,1.255816e-02,4.860158e-04,5.6478e-04,9.3495e-01,1105,4.5025e-04,6.092540e+02,4.142748e+03,6.822532e+00,5.050043e-02,2.4717e-01,6.8756e-02,2.1121e-05
319,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0097.fits",0.000000e+00,3.066841e-03,2.765579e-02,0.000000e+00,0.000000e+00,524,3.8445e-04,5.5611e-04,1.3225e+00,4.6434e+00,8.8129e-01,8.6357e+01,7.9052e+01,1.257343e-02,4.879945e-04,5.6553e-04,9.3716e-01,23,4.6204e-04,5.789441e+02,5.403970e+03,1.946195e+00,8.388562e-03,1.7530e-01,2.0796e-02,1.2117e-05
320,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0099.fits",0.000000e+00,1.046009e-02,2.819346e-02,0.000000e+00,0.000000e+00,1100,3.8642e-04,5.5891e-04,1.3166e+00,2.3970e+00,5.6292e-01,8.8877e+01,5.6411e+01,1.263446e-02,4.883414e-04,5.6825e-04,9.3502e-01,1100,4.5074e-04,5.873641e+02,3.578493e+03,6.608042e+00,4.713014e-02,2.2186e-01,7.7261e-02,2.0326e-05
321,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0100.fits",0.000000e+00,1.214015e-02,2.697643e-02,0.000000e+00,0.000000e+00,1191,3.8676e-04,5.5952e-04,1.3177e+00,2.1869e+00,6.0749e-01,8.9372e+01,3.4871e+02,1.263447e-02,4.890540e-04,5.6866e-04,9.3454e-01,1190,4.5545e-04,5.749553e+02,3.285419e+03,7.847413e+00,6.236138e-02,2.0706e-01,7.4988e-02,2.1503e-05
322,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0101.fits",0.000000e+00,8.759945e-03,2.843690e-02,0.000000e+00,0.000000e+00,996,3.8631e-04,5.5903e-04,1.3056e+00,2.6601e+00,5.5570e-01,8.7347e+01,2.8431e+02,1.264973e-02,4.893163e-04,5.6901e-04,9.3584e-01,993,4.5630e-04,5.906758e+02,4.662826e+03,5.508678e+00,3.617752e-02,2.0293e-01,7.5664e-02,2.1969e-05
323,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0103.fits",0.000000e+00,9.776064e-03,2.721245e-02,0.000000e+00,0.000000e+00,1046,3.9028e-04,5.6485e-04,1.3175e+00,2.4501e+00,6.1547e-01,8.5210e+01,2.7900e+02,1.274127e-02,4.931044e-04,5.7384e-04,9.3620e-01,1046,4.5638e-04,5.827313e+02,4.317498e+03,6.349042e+00,4.609027e-02,1.6579e-01,5.9428e-02,2.0426e-05
324,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0104.fits",0.000000e+00,9.362890e-03,2.738062e-02,0.000000e+00,0.000000e+00,1030,3.9185e-04,5.6707e-04,1.3176e+00,2.5271e+00,5.5522e-01,8.4134e+01,2.7800e+02,1.278705e-02,4.950631e-04,5.7605e-04,9.3650e-01,1028,4.5818e-04,5.867727e+02,4.403930e+03,6.086292e+00,4.288680e-02,1.8109e-01,7.2801e-02,1.9189e-05
325,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0105.fits",0.000000e+00,1.022358e-02,2.618875e-02,0.000000e+00,0.000000e+00,1069,3.9317e-04,5.6947e-04,1.3195e+00,2.3715e+00,6.5933e-01,8.3074e+01,2.7743e+02,1.284809e-02,4.972133e-04,5.7876e-04,9.3671e-01,1070,4.6244e-04,5.765684e+02,4.136328e+03,6.818262e+00,5.227984e-02,1.7793e-01,5.2512e-02,2.1464e-05
326,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0106.fits",0.000000e+00,1.003436e-02,2.603258e-02,0.000000e+00,0.000000e+00,1083,3.9593e-04,5.7341e-04,1.3253e+00,2.3277e+00,5.0886e-01,8.2009e+01,2.7711e+02,1.292439e-02,5.000258e-04,5.8215e-04,9.3675e-01,1082,4.6128e-04,5.782055e+02,4.128321e+03,6.759314e+00,5.001747e-02,1.6761e-01,9.8660e-02,1.9947e-05
327,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0107.fits",0.000000e+00,9.119592e-03,2.527380e-02,0.000000e+00,0.000000e+00,1009,3.9771e-04,5.7613e-04,1.3200e+00,2.4559e+00,5.7187e-01,8.0947e+01,2.7695e+02,1.298543e-02,5.025248e-04,5.8496e-04,9.3739e-01,1007,4.6417e-04,5.724672e+02,4.223720e+03,6.262551e+00,4.646793e-02,1.5418e-01,6.7730e-02,1.9364e-05
328,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0108.fits",0.000000e+00,9.311704e-03,2.527099e-02,0.000000e+00,0.000000e+00,1053,3.9810e-04,5.7662e-04,1.3188e+00,2.4045e+00,5.7007e-01,7.9875e+01,2.7690e+02,1.300069e-02,5.029730e-04,5.8563e-04,9.3753e-01,1052,4.6530e-04,5.730966e+02,4.047081e+03,6.401211e+00,4.605714e-02,1.4992e-01,7.4756e-02,2.1094e-05
329,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0109.fits",0.000000e+00,1.003888e-02,2.406805e-02,0.000000e+00,0.000000e+00,1076,4.0140e-04,5.8144e-04,1.3193e+00,2.2713e+00,5.5267e-01,7.8792e+01,2.7694e+02,1.309223e-02,5.065054e-04,5.8999e-04,9.3772e-01,1077,4.6781e-04,5.634482e+02,3.861513e+03,7.130046e+00,5.648025e-02,1.4621e-01,7.3503e-02,2.0162e-05
330,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0110.fits",0.000000e+00,9.188167e-03,2.440819e-02,0.000000e+00,0.000000e+00,1050,4.0445e-04,5.8602e-04,1.3142e+00,2.4081e+00,6.5012e-01,7.7727e+01,2.7703e+02,1.319905e-02,5.110104e-04,5.9497e-04,9.3809e-01,1048,4.7060e-04,5.722064e+02,3.995498e+03,6.529435e+00,4.851785e-02,1.4923e-01,5.3335e-02,1.9837e-05
331,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0111.fits",0.000000e+00,1.149945e-02,2.313058e-02,0.000000e+00,0.000000e+00,1183,4.0615e-04,5.8855e-04,1.3152e+00,2.0480e+00,5.4447e-01,7.6644e+01,2.7716e+02,1.324483e-02,5.125979e-04,5.9726e-04,9.3802e-01,1182,4.7246e-04,5.591791e+02,3.592362e+03,8.429900e+00,7.212357e-02,1.3554e-01,8.5348e-02,2.1869e-05
332,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0112.fits",0.000000e+00,7.744193e-03,2.319188e-02,0.000000e+00,0.000000e+00,960,4.0851e-04,5.9164e-04,1.3214e+00,2.5533e+00,4.9141e-01,7.5559e+01,2.7734e+02,1.332112e-02,5.159002e-04,6.0077e-04,9.3871e-01,959,4.7408e-04,5.632074e+02,4.244612e+03,5.702423e+00,4.004483e-02,1.4157e-01,8.2172e-02,1.8902e-05
333,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0113.fits",0.000000e+00,1.009752e-02,2.122745e-02,0.000000e+00,0.000000e+00,1104,4.1283e-04,5.9825e-04,1.3174e+00,2.1032e+00,4.9572e-01,7.4498e+01,2.7753e+02,1.347370e-02,5.214413e-04,6.0774e-04,9.3917e-01,1104,4.7820e-04,5.450772e+02,3.541550e+03,7.853942e+00,6.664047e-02,1.0748e-01,8.5704e-02,2.0848e-05
334,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0114.fits",0.000000e+00,8.885542e-03,2.200403e-02,0.000000e+00,0.000000e+00,1039,4.1546e-04,6.0217e-04,1.3217e+00,2.2995e+00,4.4505e-01,7.3434e+01,2.7775e+02,1.356527e-02,5.251315e-04,6.1168e-04,9.3956e-01,1038,4.8168e-04,5.585562e+02,3.861630e+03,6.831430e+00,5.331941e-02,1.2298e-01,9.9091e-02,2.0424e-05
335,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0115.fits",0.000000e+00,1.033087e-02,2.089925e-02,0.000000e+00,0.000000e+00,1137,4.1944e-04,6.0728e-04,1.3172e+00,2.0555e+00,5.2524e-01,7.2374e+01,2.7799e+02,1.368734e-02,5.297246e-04,6.1715e-04,9.3974e-01,1136,4.8917e-04,5.492242e+02,3.512635e+03,8.227942e+00,7.077466e-02,1.1575e-01,7.8108e-02,2.1214e-05
336,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0116.fits",0.000000e+00,9.647342e-03,2.021685e-02,0.000000e+00,0.000000e+00,1103,4.2598e-04,6.1688e-04,1.3201e+00,2.1189e+00,5.3145e-01,7.1318e+01,2.7825e+02,1.390096e-02,5.378492e-04,6.2649e-04,9.4051e-01,1102,4.9381e-04,5.483539e+02,3.554413e+03,7.933912e+00,6.830531e-02,1.0029e-01,8.2205e-02,2.1599e-05
337,true,false,"/Volumes/Astro-SSD/transfer/ES127/NGC7331_CN2025rbs/NGC7331_CN2025rbs_2025-07-23/NGC7331_CN2025rbs_2025-07-23_LIGHT_R_30.00_0117.fits",0.000000e+00,8.478969e-03,1.894027e-02,0.000000e+00,0.000000e+00,1045,4.3686e-04,6.3310e-04,1.3180e+00,2.1875e+00,4.2362e-01,7.0267e+01,2.7851e+02,1.425193e-02,5.516848e-04,6.4231e-04,9.4133e-01,1043,5.0507e-04,5.441614e+02,3.583525e+03,7.388231e+00,6.190703e-02,1.0192e-01,1.0032e-01,2.1607e-05
