DATE,MESSAGE,ROLE,EVENT_ID,TYPE
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: R",SwitchFilter,106,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: R",SwitchFilter,106,end
45859.99,"Starting Category: Guider, Item: StartGuiding",StartGuiding,108,start
45859.99,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,108,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,109,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,109,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: G",SwitchFilter,111,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: G",SwitchFilter,111,end
45859.99,"Starting Category: Guider, Item: StartGuiding",StartGuiding,113,start
45859.99,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,113,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,114,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,114,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: B",SwitchFilter,116,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: B",SwitchFilter,116,end
45859.99,"Starting Category: Guider, Item: StartGuiding",StartGuiding,118,start
45859.99,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,118,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,119,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,119,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,121,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,121,end
45859.99,"Starting Category: Guider, Item: StartGuiding",StartGuiding,123,start
45859.99,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,123,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,124,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,124,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,125,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,125,end
45859.99,"Starting Category: Guider, Item: StartGuiding",StartGuiding,127,start
45859.99,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,127,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,128,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,128,end
45859.99,"Starting Category: Guider, Item: Dither",Dither,129,start
45859.99,"Finishing Category: Guider, Item: Dither",Dither,129,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,131,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,131,end
45859.99,"Starting Category: Guider, Item: StartGuiding",StartGuiding,133,start
45859.99,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,133,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,134,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,134,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: R",SwitchFilter,136,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: R",SwitchFilter,136,end
45859.99,"Starting Category: Guider, Item: StartGuiding",StartGuiding,138,start
45859.99,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,138,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,139,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,139,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: G",SwitchFilter,141,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: G",SwitchFilter,141,end
45859.99,"Starting Category: Guider, Item: StartGuiding",StartGuiding,143,start
45859.99,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,143,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,144,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,144,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: B",SwitchFilter,146,start
45859.99,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: B",SwitchFilter,146,end
45859.99,"Starting Category: Guider, Item: StartGuiding",StartGuiding,148,start
45859.99,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,148,end
45859.99,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,149,start
45860.00,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,149,end
45860.00,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,151,start
45860.00,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,151,end
45860.00,"Starting Category: Guider, Item: StartGuiding",StartGuiding,153,start
45860.00,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,153,end
45860.00,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,154,start
45860.00,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,154,end
45860.00,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,155,start
45860.00,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,155,end
45860.00,"Starting Category: Guider, Item: StartGuiding",StartGuiding,157,start
45860.00,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,157,end
45860.00,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,158,start
45860.00,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,158,end
45860.00,"Starting Category: Guider, Item: Dither",Dither,159,start
45860.00,"Finishing Category: Guider, Item: Dither",Dither,159,end
45860.00,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,161,start
45860.00,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,161,end
45860.00,"Starting Category: Guider, Item: StartGuiding",StartGuiding,163,start
45860.00,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,163,end
45860.00,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,164,start
45860.00,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,164,end
45860.00,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: R",SwitchFilter,166,start
45860.00,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: R",SwitchFilter,166,end
45860.00,"Starting Category: Guider, Item: StartGuiding",StartGuiding,168,start
45860.00,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,168,end
45860.00,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,169,start
45860.00,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,169,end
45860.00,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: G",SwitchFilter,171,start
45860.00,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: G",SwitchFilter,171,end
45860.00,"Starting Category: Guider, Item: StartGuiding",StartGuiding,173,start
45860.00,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,173,end
45860.00,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,174,start
45860.00,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,174,end
45860.00,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: B",SwitchFilter,176,start
45860.00,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: B",SwitchFilter,176,end
45860.00,"Starting Category: Guider, Item: StartGuiding",StartGuiding,178,start
45860.00,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,178,end
45860.00,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,179,start
45860.00,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 30, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,179,end
45860.00,"Starting Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,181,start
45860.00,"Finishing Category: Powerups (Enhanced Instructions), Item: SwitchFilter, Filter: L",SwitchFilter,181,end
45860.00,"Starting Category: Guider, Item: StartGuiding",StartGuiding,183,start
45860.00,"Finishing Category: Guider, Item: StartGuiding",StartGuiding,183,end
45860.00,"Starting Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,184,start
45860.00,"Finishing Category: Powerups (Enhanced Instructions), Item: TakeExposure, ExposureTime 60, Gain 100, Offset 50, ImageType LIGHT, Binning 1x1",TakeExposure,184,end
